A62_Strength_1,A62_Confidence,A63_Strength_1,A63_Confidence,A64_Strength_1,A64_Confidence,A65_Strength_1,A65_Confidence,A66_Strength_1,A66_Confidence,A67_Strength_1,A67_Confidence,A68_Strength_1,A68_Confidence,A69_Strength_1,A69_Confidence,A70_Strength_1,A70_Confidence,A71_Strength_1,A71_Confidence,A72_Strength_1,A72_Confidence,A73_Strength_1,A73_Confidence,A74_Strength_1,A74_Confidence,A75_Strength_1,A75_Confidence,A76_Strength_1,A76_Confidence,A77_Strength_1,A77_Confidence,A78_Strength_1,A78_Confidence,A79_Strength_1,A79_Confidence,A80_Strength_1,A80_Confidence,A81_Strength_1,A81_Confidence,A82_Strength_1,A82_Confidence,A83_Strength_1,A83_Confidence,A84_Strength_1,A84_Confidence,A85_Strength_1,A85_Confidence,A86_Strength_1,A86_Confidence,A87_Strength_1,A87_Confidence,A88_Strength_1,A88_Confidence,A89_Strength_1,A89_Confidence,A90_Strength_1,A90_Confidence,A91_Strength_1,A91_Confidence,A62_Truth,A63_Truth,A64_Truth,A65_Truth,A66_Truth,A67_Truth,A68_Truth,A69_Truth,A70_Truth,A71_Truth,A72_Truth,A73_Truth,A74_Truth,A75_Truth,A76_Truth,A77_Truth,A78_Truth,A79_Truth,A80_Truth,A81_Truth,A82_Truth,A83_Truth,A84_Truth,A85_Truth,A86_Truth,A87_Truth,A88_Truth,A89_Truth,A90_Truth,A91_Truth,A1_Component.truth,A2_Component.truth,A3_Component.truth,A4_Component.truth,A5_Component.truth,A6_Component.truth,A7_Component.truth,A8_Component.truth,A9_Component.truth,A10_Component.truth,A11_Component.truth,A12_Component.truth,A13_Component.truth,A14_Component.truth,A15_Component.truth,A16_Component.truth,A17_Component.truth,A18_Component.truth,A19_Component.truth,A20_Component.truth,A21_Component.truth,A22_Component.truth,A23_Component.truth,A24_Component.truth,A25_Component.truth,A26_Component.truth,A27_Component.truth,A28_Component.truth,A29_Component.truth,A30_Component.truth,A31_Component.truth,A32_Component.truth,A33_Component.truth,A34_Component.truth,A35_Component.truth,A36_Component.truth,A37_Component.truth,A38_Component.truth,A39_Component.truth,A40_Component.truth,A41_Component.truth,A42_Component.truth,A43_Component.truth,A44_Component.truth,A45_Component.truth,A46_Component.truth,A47_Component.truth,A48_Component.truth,A49_Component.truth,A50_Component.truth,A51_Component.truth,A52_Component.truth,A53_Component.truth,A54_Component.truth,A55_Component.truth,A56_Component.truth,A57_Component.truth,A58_Component.truth,A59_Component.truth,A60_Component.truth
0,5,0,9,8,3,8,8,15,9,71,6,10,5,81,5,0,7,2,5,72,4,11,4,6,9,51,5,10,5,12,5,6,9,71,4,70,6,87,8,91,9,86,9,86,9,100,7,69,7,87,9,89,8,100,10,84,4,86,8,2,3,2,2,1,1,3,2,2,2,2,3,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,3,3,1,1,3,3,1,3,1,3,3,1,3,3,3,3,3,3,1,3,3,3,1,1,1,1,3,1,3,3,1,3,3,3,3,3,3,3,3,1,3,1,3,3,3,1,3,1,3,3,3,3,1,3,3,3,3
10,6,17,7,9,6,4,9,10,8,13,8,14,7,26,5,8,8,14,8,16,8,48,5,58,7,47,7,25,8,29,8,36,6,41,5,59,6,60,6,82,8,56,7,39,4,82,8,62,7,59,6,78,8,85,9,92,9,65,7,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,1,3,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,3,2,1,2,2,2,3,1,3,2,2,2,2,1,1,1,1,2,1,3,1,1,2,2,1,2,1,2,2,1,3,2,1,1,2,1,3,1,1,3,1,1,2,NA,2,2,2,3,1,2,1,1,1
40,6,51,5,51,5,91,8,51,5,51,5,51,5,51,5,28,5,51,5,51,5,20,5,51,5,20,6,52,5,51,5,29,5,51,5,81,6,51,5,91,7,51,5,51,5,11,7,72,7,51,5,51,5,61,6,51,5,30,5,3,3,3,NA,3,3,2,3,2,3,1,2,2,3,3,2,2,2,2,3,1,3,1,1,1,1,3,1,3,1,3,3,1,3,3,1,1,2,2,3,3,1,2,3,3,1,2,3,3,2,1,1,1,3,3,NA,3,3,1,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,1,3,3
42,0,69,5,54,4,33,5,42,0,31,1,30,5,66,0,28,2,53,3,80,5,60,2,54,1,48,2,30,5,34,7,26,1,45,0,45,2,54,4,100,5,54,3,89,6,88,3,89,4,88,5,87,7,88,5,86,7,82,4,3,2,3,2,3,3,2,3,2,3,3,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,2,3,1,3,3,2,3,1,3,2,3,2,2,1,1,1,1,3,1,1,3,1,2,1,3,2,1,3,2,3,3,1,1,1,2,1,3,1,3,1,3,3,2,1,2,3,1,3,1,2,1,3,3
29,6,9,9,16,8,9,9,70,5,60,5,29,7,60,3,29,8,30,6,20,9,70,4,30,8,40,3,10,9,20,7,10,9,30,8,30,6,30,6,80,7,60,4,80,4,80,7,81,8,70,2,70,5,85,8,30,4,90,9,2,2,3,2,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,1,2,1,1,1,3,1,1,2,1,1,1,1,2,3,1,3,3,3,3,3,1,3,1,1,1,3,3,2,2,3,1,3,3,3,1,1,1,1,3,1,1,2,1,3,2,3,1,1,3,1,2,3,3,1,1,3,1,1,3,1,2,3,2,3,1,2,1,3,3
0,9,0,10,51,8,0,9,5,9,3,9,0,9,18,8,0,10,2,10,60,8,22,7,4,10,13,9,10,9,11,9,77,9,27,8,86,9,51,7,90,10,75,9,80,9,84,9,81,9,85,9,83,9,97,9,65,7,87,9,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,3,1,2,3,3,3,2,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,1,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3
0,10,0,10,0,10,0,10,0,10,9,8,16,8,29,7,5,9,0,10,64,6,9,9,16,8,0,10,9,9,3,9,0,10,6,9,11,9,41,0,96,9,84,9,100,10,80,7,56,4,78,7,92,9,82,9,62,5,92,7,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,2,2,1,3,1,2,1,1,1,2,2,2,2,1,1,1,1,3,1,1,3,1,2,1,3,2,1,2,3,1,1,3,1,1,2,1,2,1,3,3,1,2,3,3,3,3,2,2,1,2,3,3,1
0,8,0,7,15,6,0,3,0,7,23,4,9,8,30,7,0,7,0,5,29,3,60,3,50,1,25,5,0,10,10,9,30,7,25,5,30,6,50,1,100,9,29,4,70,6,80,8,86,9,70,7,80,9,100,10,70,7,20,5,3,2,2,2,2,3,3,2,2,2,1,2,2,2,2,2,1,2,3,3,1,3,1,1,1,1,1,1,1,2,1,3,1,2,3,1,1,2,2,1,2,3,2,3,1,3,2,2,2,2,1,3,3,1,3,1,1,3,1,3,1,3,2,1,2,2,3,2,3,3,1,2,1,3,3,3,3,3,2,3,3,2,3,2,2,1,3,3,3,3
0,0,0,9,1,8,4,0,27,6,18,7,0,5,32,2,0,6,1,10,51,2,8,0,2,9,71,8,32,5,80,8,33,8,0,3,9,5,19,4,86,9,17,8,12,6,51,1,51,5,27,7,18,9,63,5,77,8,36,6,2,2,3,2,2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,3,1,2,2,3,3,3,2,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,1,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2
3,7,8,6,5,6,0,7,0,6,0,8,0,8,50,5,10,6,5,6,28,5,21,6,9,7,19,6,41,5,14,8,20,6,30,6,14,6,30,4,50,6,50,5,70,7,75,7,71,6,50,6,40,7,73,7,0,8,70,8,2,3,3,2,3,2,2,3,2,2,3,3,2,3,2,2,3,2,3,3,3,3,1,1,1,3,3,1,3,1,1,3,1,3,1,1,3,3,2,3,3,1,2,1,3,3,2,2,2,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,2,3,1,1,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3
11,7,2,9,9,9,10,9,10,9,31,7,20,7,30,8,0,9,9,8,32,7,41,5,11,8,19,8,41,6,41,7,9,7,31,7,21,8,31,5,81,8,61,7,79,8,80,8,61,7,71,8,60,6,81,9,30,6,80,9,2,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,3,1,2,3,1,1,2,2,3,2,1,2,3,3,3,2,3,2,3,1,1,1,1,2,1,3,1,1,2,2,3,2,1,3,2,3,3,1,1,1,3,3,3,1,3,1,1,1,3,3,3,3,2,3,1,2,1,3,3
22,7,35,7,64,3,56,3,53,2,58,3,48,4,61,4,6,9,58,6,36,6,36,4,33,5,56,4,28,6,24,8,33,8,35,8,37,5,67,4,74,6,63,8,78,8,78,8,65,5,63,7,66,5,66,5,45,7,71,6,3,3,1,3,3,3,3,1,2,1,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,1,2,1,1,2
0,0,17,6,24,5,2,0,0,0,63,0,11,1,1,0,4,0,12,0,52,0,19,8,20,7,50,2,15,8,12,9,18,6,59,7,23,8,70,6,72,6,84,7,68,6,87,9,70,7,74,8,79,8,76,8,26,8,70,7,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,3,2,1,3,1,2,3,1,1,2,2,2,2,1,1,1,1,3,1,1,3,1,2,1,1,2,1,2,2,3,3,1,1,1,2,1,3,1,1,1,1,3,2,1,2,2,1,2,1,2,2,1,3
12,8,1,8,18,5,20,7,11,6,26,7,31,8,37,3,20,8,20,7,35,3,64,5,17,6,21,6,23,8,21,6,18,7,20,4,13,7,52,6,86,9,72,6,86,9,95,10,85,9,72,8,91,10,75,7,87,8,100,10,2,2,2,2,3,1,3,1,2,2,3,1,2,3,2,2,2,3,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,3,3,1,3,1,3,3,1,1,2,3,3,3,1,1,1,1,3,1,1,1,1,2,1,1,2,1,3,2,1,3,3,1,1,1,1,2,1,1,3,1,1,2,1,2,2,2,2,1,3,3,1,1
8,5,3,8,23,4,2,9,9,4,17,3,15,6,5,5,2,9,0,8,37,1,31,2,23,3,19,4,26,5,17,6,35,2,34,3,29,2,27,6,84,5,41,5,66,5,41,1,69,5,58,3,40,7,83,6,10,5,43,4,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,2,3,3,2,1,3,1,3,1,2,3,1,2,3,3,3,3,3,3,1,3,2,2,3,3,3,2,3,3,3,2,2,3,2,3,3,3,3,3,3,3,1,1,3,2,3,2,3,3,NA,3,3,3,1,3,3,1,3,3,3,3,3,3,2,3,3,3,2,3,1,3,3,3,3
50,1,20,0,50,7,21,1,0,8,77,4,30,5,35,1,6,1,0,5,50,3,53,1,50,3,50,4,50,7,50,5,50,1,53,1,33,2,88,6,40,1,53,4,10,7,100,6,10,5,100,8,80,5,100,8,53,1,81,6,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,2,1,3,2,3,1,1,1,3,1,3,3,1,2,3,2,3,1,3,3,3,3,3,3,2,3,3,3,2,3,2,2,3,1,3,1,3,1,3,3,1,2,1,3,3,1,3,2,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,1,3,3,3,3
0,7,30,5,30,5,61,4,20,4,50,4,40,5,50,5,0,5,0,8,51,5,51,5,40,5,50,5,51,5,40,5,50,5,60,5,40,5,60,5,51,5,60,3,70,7,70,7,70,7,72,7,50,5,70,6,50,3,60,5,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,2,3,3,2,2,3,1,1,1,1,1,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3
4,5,35,4,49,0,26,5,25,4,25,5,20,4,43,2,34,5,34,5,79,6,61,0,80,6,53,1,34,5,40,2,26,6,9,5,30,5,69,7,77,8,76,9,47,0,81,7,81,8,91,9,88,8,83,8,66,7,43,2,2,3,3,2,1,2,2,3,2,3,3,3,1,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,3,3,3,1,1,3,3,1,3,3,2,3,1,1,2,3,2,3,1,1,1,1,3,1,1,1,1,3,1,3,2,1,2,3,1,3,2,1,1,2,1,3,1,1,3,3,1,3,1,3,2,1,2,1,3,1,1,1
10,8,0,10,10,9,10,9,20,8,60,4,20,8,30,7,0,8,10,9,30,6,20,7,20,5,20,7,20,7,30,6,20,8,50,4,20,7,30,2,80,7,60,5,60,5,40,4,80,6,80,8,65,5,90,8,60,4,70,8,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,2,1,2,1,2,3,1,1,2,2,3,2,1,1,1,1,3,1,3,3,1,3,3,3,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,1,3,3,2,3,1,2,2,3,2
3,9,1,9,14,6,5,9,9,5,62,4,30,6,51,5,29,4,42,3,31,4,45,5,45,3,23,7,28,5,37,5,20,7,30,6,39,5,62,4,90,9,27,6,24,7,75,7,51,5,65,5,30,7,74,8,36,6,61,5,2,2,2,2,2,1,2,3,3,2,3,3,3,2,2,2,2,2,2,2,1,3,2,1,1,1,2,1,2,1,1,1,1,2,3,1,3,2,2,1,3,1,2,1,1,1,2,2,3,2,3,1,3,1,1,1,1,1,1,2,1,1,2,1,2,3,3,1,3,1,1,2,1,2,1,1,3,1,1,2,1,3,2,2,3,1,2,3,1,2
52,0,0,10,18,6,0,9,28,7,74,8,0,10,24,7,0,10,15,7,23,5,61,1,22,6,28,5,7,9,0,10,15,8,23,3,10,8,65,5,95,7,82,9,78,9,86,8,71,7,77,8,85,9,100,10,36,5,90,9,3,2,2,2,2,1,2,3,2,2,2,3,2,3,2,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,3,1,3,2,1,1,3,2,2,1,3,3,2,1,1,1,2,2,3,2,3,2,3,3,3,1,1,1,1,2,1,3,2,2,1,3,1,1,3,2,3,2,2,2,3,2,2,3,3,3,1,3,1,3,3,1,3,3,2,1
0,10,6,9,19,6,0,10,0,9,70,7,28,6,57,6,0,9,40,5,51,0,94,10,50,0,20,7,9,9,28,8,22,7,70,7,11,9,75,8,100,10,80,10,59,7,90,9,16,8,56,0,70,8,100,10,59,7,9,9,2,2,2,2,2,1,2,2,2,3,3,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,1,2,1,2,2,1,2
0,7,12,3,0,5,0,9,0,5,60,8,0,9,0,2,10,6,0,9,18,1,29,2,0,8,3,2,0,9,0,10,0,10,0,5,28,4,12,6,100,10,40,8,100,9,100,9,70,9,40,7,40,9,80,9,20,4,35,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,3,1,1,1,1,1,1,3,3,1,1,2,3,1,1,3,2,2,1,1,2,2,3,3,3,3,3,1,1,3,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,3,1,1,1,2,1,1,3,1,3,1,2,3,3,3,3,3,1,3,1,2,1,2,3,3,1
36,1,87,7,16,4,91,4,12,7,79,7,14,9,82,6,35,8,73,7,24,4,77,9,20,10,12,0,84,6,68,5,33,4,36,7,34,7,90,10,85,9,72,9,64,3,75,7,69,8,100,10,96,6,74,7,66,5,100,9,3,2,2,3,3,1,3,3,2,2,3,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,1,2,1,1,3,1,2,3,1,1,2,1,3,2,1,1,1,1,3,1,3,1,1,2,1,2,2,1,2,1,1,1,3,1,1,3,1,3,1,1,2,2,1,2,1,1,2,2,1,1,2,3,1,1
2,8,1,0,0,0,0,0,4,6,5,1,2,4,21,3,9,1,30,2,11,2,11,2,5,5,9,4,9,6,1,5,2,4,1,3,12,8,38,4,79,8,40,4,60,5,85,8,41,1,68,7,11,2,90,9,10,1,62,6,3,2,2,2,2,2,2,3,2,3,3,3,2,3,2,3,2,2,2,3,1,3,3,1,3,1,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
68,2,71,2,30,2,56,2,31,2,26,2,34,2,60,3,77,2,57,1,71,1,23,2,62,1,22,2,64,2,64,2,47,1,78,2,36,2,40,2,73,1,30,1,28,2,26,1,40,2,84,3,28,1,40,2,56,2,54,1,1,2,1,2,2,3,2,2,3,1,3,2,3,2,3,1,2,2,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,3,1,3,1,2,1,3,1,3,3,1,1,2,2,2,3,3,3,1,1,3,3,1,3,1,2,2,1,3,3,1,2,3,1,1,1,1,2,1,2,1,2,1,1,1,3,3,2,1,3,1,1,2,2,2,1
28,2,18,8,23,5,4,9,27,5,35,2,10,8,54,2,5,9,29,6,86,9,42,2,51,2,29,5,25,7,27,7,24,5,26,4,38,4,58,2,87,9,68,6,85,9,68,4,68,6,81,8,77,8,95,9,48,3,66,5,2,2,2,2,3,2,2,3,2,2,3,3,3,3,2,2,2,2,2,3,1,3,1,3,1,1,3,1,2,3,1,1,3,3,3,1,3,2,2,1,3,3,2,3,1,1,2,2,3,2,3,1,1,1,3,1,1,1,1,3,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,3,3,3,2,2,1,3,2,3,3
0,10,18,8,0,3,0,9,33,0,62,5,19,5,55,3,0,8,29,8,44,0,30,6,30,6,40,7,30,7,58,6,35,4,38,3,47,1,30,5,92,10,70,8,19,9,88,9,78,8,73,7,72,8,90,10,42,4,87,9,2,3,2,2,2,2,2,3,2,2,3,2,3,2,2,3,3,3,2,3,1,1,3,1,1,1,1,1,3,1,1,1,1,2,3,1,1,2,2,3,3,1,2,3,3,1,2,2,2,3,1,3,1,1,3,1,1,3,1,2,1,3,2,3,3,2,3,3,3,1,1,3,1,3,1,3,3,1,1,3,1,2,3,3,2,1,2,3,3,3
0,9,0,6,0,8,0,9,0,9,0,9,15,9,37,5,0,9,0,9,49,3,28,5,50,0,50,0,32,5,35,5,30,2,48,3,39,4,78,6,72,6,62,7,57,4,94,9,80,6,75,9,82,9,89,9,60,6,78,8,2,2,3,2,3,3,2,3,2,2,3,3,3,3,2,3,3,3,2,3,1,1,1,1,1,1,1,1,3,1,1,3,1,3,3,1,1,3,3,1,1,1,2,3,1,3,2,3,3,3,1,1,3,1,3,1,1,1,1,2,3,1,3,1,3,3,1,2,1,1,1,3,1,3,1,3,3,1,3,3,3,3,3,3,3,3,3,1,NA,3
18,4,19,5,81,8,9,5,20,2,81,5,9,5,81,7,8,9,18,3,61,2,9,3,70,5,60,2,8,5,19,6,7,5,19,5,20,5,91,10,92,9,81,7,81,7,60,6,91,10,92,9,91,9,91,9,92,8,92,10,3,3,1,3,3,1,3,3,3,3,1,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,3,2,2,3,3,2,2,3,3,1,2,2,2,2,3,1,1,1,2,3,1,3,1,3,1,3,2,1,2,3,2,3,3,1,1,3,1,3,1,1,3,1,1,3,3,2,2,3,2,1,2,2,1,2
17,4,14,6,6,8,3,8,50,2,22,1,22,4,22,0,0,7,35,2,39,2,37,6,50,0,50,4,23,6,18,8,56,6,50,0,14,7,50,2,89,9,15,8,65,6,90,9,55,3,68,8,39,5,85,9,50,5,100,10,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,2,3,1,2,3,1,3,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,2,2,1,3,1,3,3,3,3,2,3,3,3,1,3,3,1,3,1,1,1,1,1,1,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,2,1,3,3,3,1
0,9,70,6,19,2,100,10,17,9,0,10,0,10,69,5,0,10,0,9,95,9,5,9,93,9,2,8,44,8,86,9,85,9,51,5,30,8,51,1,82,10,75,6,77,6,0,10,90,8,100,10,81,3,38,2,84,8,16,2,2,3,3,2,3,3,3,3,3,2,1,3,1,2,2,1,2,3,2,1,1,1,2,1,1,1,1,1,1,3,1,1,3,3,3,1,1,3,3,1,3,3,2,3,3,3,2,3,3,3,1,1,3,1,3,3,3,3,1,3,1,1,2,1,2,3,3,3,1,1,1,2,1,3,1,1,3,1,2,3,1,3,2,2,2,1,2,2,1,3
28,0,0,8,28,4,9,1,22,7,73,6,44,1,45,3,41,2,55,5,24,5,45,0,36,5,41,1,53,6,49,4,43,7,48,0,7,7,52,0,70,9,68,5,59,4,81,6,79,6,54,4,72,4,82,8,43,1,61,4,2,2,3,2,2,1,2,3,3,3,2,2,2,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,3,1,1,3,1,2,3,1,3,1,2,1,1,1,3,3,1,1,2,2,3,2,3,1,1,1,3,1,1,1,1,2,2,3,2,1,2,3,3,3,3,1,1,3,1,3,1,1,3,1,3,3,3,3,2,1,3,1,2,1,1,3
50,5,31,7,0,8,50,5,50,5,50,5,50,5,31,7,50,5,23,8,50,6,50,5,35,7,50,5,32,8,0,7,0,10,49,5,0,10,30,7,100,10,77,7,90,9,38,7,60,6,84,7,80,8,100,10,42,7,66,8,3,2,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,1,3,1,1,3,1,1,1,3,3,3,3,1,2,3,1,3,2,3,1,3,1,2,3,1,1,3,3,2,2,3,1,1,1,2,1,1,3,1,2,1,3,2,1,2,3,3,3,3,1,1,3,1,3,3,3,3,3,2,3,1,3,3,3,2,1,3,2,1,1
0,10,0,10,0,9,0,9,5,3,19,7,4,7,5,3,0,10,1,8,0,8,19,4,0,10,5,7,0,10,0,9,0,10,50,7,0,10,9,6,71,6,82,NA,61,5,92,8,91,9,71,8,72,8,96,9,19,8,91,7,3,3,3,3,3,3,3,3,3,3,1,3,2,3,2,2,2,3,2,3,1,1,1,1,1,3,1,1,2,1,1,3,3,2,2,1,3,2,2,3,2,3,2,3,1,1,2,2,2,2,3,3,1,1,2,3,3,1,1,2,2,3,3,3,3,2,3,1,2,1,1,2,1,2,1,3,3,1,3,3,3,2,3,3,2,1,3,3,3,3
12,9,0,10,11,8,0,10,35,5,36,4,23,7,36,5,4,9,12,8,52,2,20,8,33,6,16,6,6,10,16,7,37,5,11,8,8,10,80,8,78,7,68,6,92,10,74,7,90,9,81,8,82,8,86,9,70,8,82,9,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,1,3,1,2,3,3,3,2,3,3,2,1,1,3,1,3,1,3,3,1,2,1,3,2,1,2,3,3,3,3,1,3,3,1,3,3,1,3,3,3,3,1,3,2,2,3,1,3,3,1,3
10,7,10,8,10,8,0,7,10,9,60,6,20,7,60,6,0,10,10,9,10,9,60,4,19,6,30,3,10,8,40,6,30,9,71,7,10,8,50,3,90,9,80,7,70,7,70,7,100,10,60,6,70,7,100,9,60,4,90,9,2,2,2,2,2,1,2,3,2,2,2,3,3,3,2,2,3,3,2,3,3,1,3,1,1,3,1,1,3,1,1,3,3,2,3,1,1,3,2,1,3,NA,2,3,1,3,2,2,1,2,1,1,3,1,3,1,1,3,1,2,2,1,3,1,2,3,3,3,2,1,1,2,1,3,1,1,3,1,3,2,1,1,2,2,1,3,3,3,1,3
0,9,0,10,0,8,0,10,10,1,0,8,40,7,70,6,0,10,0,9,20,9,30,2,0,10,0,9,20,5,20,8,19,8,20,8,30,5,30,6,100,10,71,7,80,10,71,9,70,8,70,8,92,9,100,10,60,7,80,9,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,NA,1,3,3,3,2,1,1,2,2,1,2,3,2,1,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,3,2,1,1,2,1,1,2,1,2,1,3,3,1,2,2,1,2,3,2,2,1,2,3,3,1
54,1,0,10,17,7,0,10,14,5,70,5,22,8,62,4,0,10,8,9,59,1,37,5,77,8,7,5,4,10,6,9,4,8,8,9,61,7,51,5,97,9,9,6,96,9,100,10,86,10,91,10,100,9,83,8,2,10,91,9,2,2,2,2,2,1,2,3,2,2,3,3,1,2,2,1,2,2,2,3,1,2,1,1,1,1,1,1,3,3,3,1,1,3,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,2,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1
0,10,0,10,0,10,0,10,0,5,50,10,0,10,10,10,0,10,0,10,10,5,0,10,0,10,0,10,0,5,0,9,0,10,50,5,50,10,0,10,100,10,0,5,95,10,0,10,50,5,0,10,0,10,100,10,0,10,50,10,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,3,1,2,1,2,1,1,2,3,1,1,3,3,1,3,1,3,3,1,2,2,1,3,2,3,3,3,3,1,1,1,1,1,2,1,3,3,1,3,3,1,3,3,2,3,2,3,3,1,2,2,1,2,2,3,3,3,3,2,3,3,3,1,1
16,0,22,6,12,8,22,5,8,7,29,4,12,8,8,1,2,9,10,4,14,7,20,6,5,9,13,7,36,5,15,8,57,6,60,3,10,9,50,1,76,7,64,5,76,8,61,3,67,5,55,3,66,5,90,9,29,5,75,8,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,1,3,2,3,1,2,1,3,1,3,1,1,3,1,1,3,1,2,3,1,1,3,2,1,2,1,2,3,1,1,2,2,1,2,1,1,1,3,1,1,1,1,1,2,2,1,2,1,1,1,3,3,3,1,3,2,2,2,1,3,3,1,2,2,3,1,3,2,2,1,2,1,3,3
0,6,0,7,0,6,5,4,0,6,60,5,20,5,30,2,0,5,0,8,30,0,10,6,15,6,0,5,20,5,20,6,50,2,15,1,20,8,50,2,90,10,50,4,80,8,15,6,60,6,75,7,80,5,65,7,70,6,25,5,3,2,2,2,3,1,2,3,3,2,2,2,2,2,2,2,3,2,2,3,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,1,2,1,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,3,1,2,3,1,2,1,1,1,1,1,3,1,1,3,1,2,1,3,1,1,3,2,1,1,3,2,3,1,2,3,3,1
